公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
中信百信银行股份有限公司,百信银行,150-500人,不需要融资,朝阳区,风险模型策略,5-10年,本科,25k-40k,"互联网银行,机器学习,风险模型,消费金融"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法,3-5年,硕士,40k-70k,"发展平台,技术氛围,免费班车,加班补贴"
北京世纪天橙科技有限公司,北京世纪天橙科技有限公司,150-500人,C轮,朝阳区,算法专家,3-5年,硕士,30k-60k,平台好
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,算法,1-3年,本科,20k-40k,"弹性工作,餐补,技术氛围好,大平台"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,算法专家,5-10年,本科,35k-60k,"上市公司,大牛团队,福利优厚,晋升空间大"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,算法实习生,应届毕业生,本科,6k-8k,"人工智能,黑科技,刷脸上下班,团队牛"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,算法专家,3-5年,本科,30k-60k,一线互联网公司薪资+全年最高19薪+不打卡
上海阅文信息技术有限公司,阅文集团,500-2000人,上市公司,朝阳区,算法/数据挖掘高级工程师,3-5年,本科,30k-50k,"福利多,环境好,技术大牛多,晋升快"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,算法专家,5-10年,本科,35k-70k,"创新前沿,技术大牛,发展空间大,弹性工作"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,算法专家,3-5年,本科,40k-70k,"平均15薪,六险一金,餐补"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法专家,5-10年,本科,30k-50k,"免费晚餐,团队和谐"
北京快松果科技有限公司,松果出行,150-500人,C轮,朝阳区,算法-数据挖掘,3-5年,本科,30k-40k,"17薪,有午餐"
小船出海教育科技（北京）有限公司,作业帮,2000人以上,C轮,海淀区,算法-语音识别(J11092),3-5年,本科,30k-50k,"平台好,福利好"
北京雪球信息科技有限公司,雪球,150-500人,D轮及以上,朝阳区,NLP算法工程师/算法专家,3-5年,硕士,25k-40k,"六险一金,免费午餐,扁平管理,成长空间大"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,算法实习生,不限,硕士,4k-8k,"成长空间,餐补"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法,5-10年,本科,20k-40k,五险一金
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,资深算法工程师／算法专家(J170808016),3-5年,本科,25k-50k,广阔平台、诱人职位、急速成长
北京京东世纪贸易有限公司,京东物流,2000人以上,上市公司,通州区,算法&amp;数据挖掘 科学家,1-3年,硕士,25k-50k,"五险一金,竞争性薪酬,行业领先,名校合作"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,算法架构师,5-10年,本科,35k-70k,"科技前沿,弹性工作,发展空间大,充分授权"
厦门瑞为信息技术有限公司深圳分公司,瑞为智能,50-150人,B轮,海淀区,算法实习生,应届毕业生,硕士,7k-14k,"弹性工作,优先入职,午餐补贴,下午茶"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法实习生-国际化,不限,本科,4k-6k,六险一金，弹性工作，免费三餐，租房补贴
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,算法实习生,应届毕业生,本科,3k-5k,"免费三餐,班车接送,发展前景大"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,算法实习生,应届毕业生,本科,3k-6k,"海量数据,大牛云集,股票期权,待遇给力"
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,高级算法工程师/算法专家,5-10年,本科,30k-50k,"弹性工作,六险一金,子女福利,发展空间"
京东金融,京东金融,2000人以上,上市公司,大兴区,算法工程师岗,3-5年,硕士,25k-50k,班车；餐补
北京毫米科技有限公司,homi,50-150人,A轮,朝阳区,算法架构师,3-5年,硕士,20k-35k,"弹性工作制,地铁沿线,股票期权,大咖云集"
